date,open,high,low,close
1516694400000,103.5,106.0,102.3001,103.9999
1516696200000,103.6004,107.29,103.6004,106.89
1516698000000,106.642,107.0,105.2,105.99
1516699800000,105.899,106.8,104.12,104.5997
1516701600000,104.5997,106.8,103.11,104.5
1516703400000,104.6,105.3895,103.11,103.5
1516705200000,103.9999,104.3999,100.0001,100.1
1516707000000,100.1,101.0,96.0,98.5
1516708800000,98.5,100.7,96.2,99.6239
1516710600000,99.9,100.0,97.0,97.9
1516712400000,97.9998,97.9998,94.993,96.7
1516714200000,97.3931,99.87,96.046,98.0
1516716000000,98.1,99.87,97.21,99.869
1516717800000,99.87,101.611,97.3406,100.2
1516719600000,100.5,103.9998,99.7,103.0006
1516721400000,103.0999,104.98,100.31,104.498
1516723200000,104.79,108.5,104.325,108.42
1516725000000,108.1,108.98,106.4001,108.4
1516726800000,108.5,109.0,106.3631,106.5603
1516728600000,106.8887,107.0,102.0,103.7
1516730400000,103.8999,106.4999,103.8999,104.49
1516732200000,104.1112,107.0099,104.1112,106.9
1516734000000,106.8,106.9,104.23,106.6323
1516735800000,106.6323,106.6323,104.22,104.6
1516737600000,104.3013,105.699,103.7775,105.2
1516739400000,105.2,106.6324,105.1505,106.43
1516741200000,106.6324,107.0,102.5598,105.12
1516743000000,105.5,105.778,102.5301,103.02
1516744800000,103.4,106.5775,103.326,106.5
1516746600000,106.7,107.0,105.0001,106.0
1516748400000,105.5,106.5999,104.3,104.35
1516750200000,104.35,104.8999,102.0,104.1998
1516752000000,104.1,104.4999,101.53,102.0
1516753800000,102.0,102.7,98.6001,98.7
1516755600000,98.7,103.0,98.7,101.1003
1516757400000,101.1003,102.4,99.0001,100.8
1516759200000,100.8,102.0,100.5,101.69
1516761000000,101.7999,101.7999,99.3392,101.4
1516762800000,101.799,103.2,101.3,102.6146
1516764600000,102.5,103.5,102.0,102.9997
1516766400000,102.9997,103.2899,100.0,100.7
1516768200000,100.7,101.8,100.0003,101.485
1516770000000,101.4852,101.8,100.3001,100.95
1516771800000,100.96,101.4999,100.8,101.39
1516773600000,101.4898,102.4999,101.3999,101.9886
1516775400000,101.8,103.9,101.787,102.82
1516777200000,102.6002,104.962,102.41,103.8
1516779000000,103.8,104.5,102.5,103.9001
1516780800000,103.9,105.3999,103.9,104.2501
1516782600000,104.25,104.7,103.6001,104.3
1516784400000,104.2009,104.2009,102.52,102.6504
1516786200000,103.42,104.5529,102.8,104.5001
1516788000000,104.7,104.96,103.21,104.5972
1516789800000,104.729,105.2,103.99,104.7
1516791600000,104.67,105.75,104.5,105.6628
1516793400000,105.6628,106.47,105.29,106.4
1516795200000,106.0001,106.6,104.5,106.09
1516797000000,106.1111,109.75,105.8,107.3001
1516798800000,108.0,108.8195,107.2001,107.89
1516800600000,107.5101,108.2,106.02,107.8456
1516802400000,107.76,108.0,103.0,106.7999
1516804200000,107.0,107.2,105.005,105.51
1516806000000,105.5008,105.77,103.3334,103.92
1516807800000,103.91,104.277,102.4,102.4999
1516809600000,102.4999,103.2581,100.21,101.635
1516811400000,101.63,103.8887,101.508,103.011
1516813200000,103.0001,103.4545,101.55,103.4395
1516815000000,103.34,103.8999,103.19,103.8999
1516816800000,103.8999,105.0,103.0,103.96
1516818600000,103.96,103.96,102.0,103.4999
1516820400000,103.41,104.8999,103.4,104.49
1516822200000,104.0001,104.91,104.0001,104.9099
1516824000000,104.9099,105.0,104.0,104.12
1516825800000,104.12,104.22,103.41,103.5001
1516827600000,103.5002,105.0,103.5002,104.925
1516829400000,104.935,104.999,104.2,104.8
1516831200000,104.9486,105.0,104.2,104.6997
1516833000000,104.6,104.6899,103.8,104.3
1516834800000,104.1004,104.6898,103.8,104.0111
1516836600000,104.0112,105.5,104.0112,105.1
1516838400000,105.5,105.9847,104.8,105.8948
1516840200000,105.9789,106.3999,105.31,105.9
1516842000000,105.99,108.0,105.522,108.0
1516843800000,108.001,108.4779,106.45,108.42
1516845600000,108.3011,108.32,107.2995,107.6
1516847400000,107.9988,108.92,107.74,108.01
1516849200000,108.2997,108.4999,107.2995,107.9
1516851000000,107.85,108.7,107.75,108.2011
1516852800000,108.3,108.4283,106.2,106.211
1516854600000,106.8099,107.6402,106.213,107.6402
1516856400000,107.8,108.2497,107.4,108.0
1516858200000,108.0998,108.12,107.6,108.12
1516860000000,108.12,109.5,107.9111,108.5
1516861800000,108.25,109.1529,107.2,107.39
1516863600000,107.39,108.0001,106.4,106.73
1516865400000,106.72,107.5398,106.72,106.8999
1516867200000,106.9,107.42,106.3,106.52
1516869000000,106.8,107.3987,105.81,105.81
1516870800000,105.81,105.83,105.1,105.4009
1516872600000,105.3,106.49,104.85,105.86
1516874400000,105.8998,106.7669,105.6788,106.31
1516876200000,106.2101,106.2101,105.005,105.4
1516878000000,105.4799,105.869,104.94,105.43
1516879800000,105.4998,105.5005,103.3,104.2
1516881600000,104.2,104.9197,103.0,103.9797
1516883400000,103.9001,104.5259,103.0,103.49
1516885200000,103.49,104.172,103.0011,103.1
1516887000000,103.3998,105.46,103.12,104.861
1516888800000,104.8502,104.8503,103.99,103.99
1516890600000,103.986,104.87,103.49,104.01
1516892400000,103.6222,104.2888,102.5,102.7776
1516894200000,102.89,102.89,100.8002,101.9
1516896000000,102.0,102.8985,100.4066,102.8985
1516897800000,102.8899,103.49,101.5,101.787
1516899600000,101.8,102.6083,101.5001,102.4589
1516901400000,102.459,102.9,101.3333,102.1827
1516903200000,101.9,103.95,101.68,103.41
1516905000000,103.41,103.9231,102.8218,103.8994
1516906800000,103.8899,103.9498,102.8302,103.9498
1516908600000,103.8997,103.8997,102.9008,103.4
1516910400000,103.41,103.86,102.9001,103.6455
1516912200000,103.0002,104.0099,103.0001,103.2321
1516914000000,103.99,104.1,103.3202,103.3202
1516915800000,103.3202,103.34,102.206,103.34
1516917600000,103.1004,103.7,102.9,103.62
1516919400000,103.625,104.4,103.502,104.22
1516921200000,103.9,104.37,103.6,103.7
1516923000000,104.04,104.37,103.5021,104.17
1516924800000,104.27,104.6001,103.84,104.5979
1516926600000,104.5968,105.4,104.13,105.4
1516928400000,105.4,105.53,104.7,105.17
1516930200000,105.17,105.17,104.1,104.16
1516932000000,104.1001,105.31,104.1,104.9995
